data,key_rate
1 июня 2010 г. - 27 февраля 2011 г.,"7,75"
30 апреля 2010 г. - 31 мая 2010 г.,8
29 марта 2010 г. - 29 апреля 2010 г.,"8,25"
24 февраля 2010 г. - 28 марта 2010 г.,"8,5"
28 декабря 2009 г. - 23 февраля 2010 г.,"8,75"
25 ноября 2009 г. - 27 декабря 2009 г.,9
30 октября 2009 г. - 24 ноября 2009 г.,"9,5"
30 сентября 2009 г. - 29 октября 2009 г.,10
15 сентября 2009 г. - 29 сентября 2009 г.,"10,5"
10 августа 2009 г. - 14 сентября 2009 г.,"10,75"
13 июля 2009 г. - 9 августа 2009 г.,11
5 июня 2009 г. - 12 июля 2009 г.,"11,5"
14 мая 2009 г. - 4 июня 2009 г.,12
24 апреля 2009 г. - 13 мая 2009 г.,"12,5"
1 декабря 2008 г. - 23 апреля 2009 г.,13
12 ноября 2008 г. - 30 ноября 2008 г.,12
14 июля 2008 г. - 11 ноября 2008 г.,11
10 июня 2008 г. - 13 июля 2008 г.,"10,75"
29 апреля 2008 г. - 9 июня 2008 г.,"10,5"
4 февраля 2008 г. - 28 апреля 2008 г.,"10,25"
19 июня 2007 г. - 3 февраля 2008 г.,10
29 января 2007 г. - 18 июня 2007 г.,"10,5"
23 октября 2006 г. - 28 января 2007 г.,11
26 июня 2006 г. - 22 октября 2006 г.,"11,5"
26 декабря 2005 г. - 25 июня 2006 г.,12
15 июня 2004 г. - 25 декабря 2005 г.,13
15 января 2004 г. - 14 июня 2004 г.,14
21 июня 2003 г. - 14 января 2004 г.,16
17 февраля 2003 г. - 20 июня 2003 г.,18
7 августа 2002 г. - 16 февраля 2003 г.,21
9 апреля 2002 г. - 6 августа 2002 г.,23
4 ноября 2000 г. - 8 апреля 2002 г.,25
10 июля 2000 г. - 3 ноября 2000 г.,28
21 марта 2000 г. - 9 июля 2000 г.,33
7 марта 2000 г. - 20 марта 2000 г.,38
24 января 2000 г. - 6 марта 2000 г.,45
10 июня 1999 г. - 23 января 2000 г.,55
24 июля 1998 г. - 9 июня 1999 г.,60
29 июня 1998 г. - 23 июля 1998 г.,80
5 июня 1998 г. - 28 июня 1998 г.,60
27 мая 1998 г. - 4 июня 1998 г.,150
19 мая 1998 г. - 26 мая 1998 г.,50
16 марта 1998 г. - 18 мая 1998 г.,30
2 марта 1998 г. - 15 марта 1998 г.,36
17 февраля 1998 г. - 1 марта 1998 г.,39
2 февраля 1998 г. - 16 февраля 1998 г.,42
11 ноября 1997 г. - 1 февраля 1998 г.,28
6 октября 1997 г. - 10 ноября 1997 г.,21
16 июня 1997 г. - 5 октября 1997 г.,24
28 апреля 1997 г. - 15 июня 1997 г.,36
10 февраля 1997 г. - 27 апреля 1997 г.,42
2 декабря 1996 г. - 9 февраля 1997 г.,48
21 октября 1996 г. - 1 декабря 1996 г.,60
19 августа 1996 г. - 20 октября 1996 г.,80
24 июля 1996 г. - 18 августа 1996 г.,110
10 февраля 1996 г. - 23 июля 1996 г.,120
1 декабря 1995 г. - 9 февраля 1996 г.,160
24 октября 1995 г. - 30 ноября 1995 г.,170
19 июня 1995 г. - 23 октября 1995 г.,180
16 мая 1995 г. - 18 июня 1995 г.,195
6 января 1995 г. - 15 мая 1995 г.,200
17 ноября 1994 г. - 5 января 1995 г.,180
12 октября 1994 г. - 16 ноября 1994 г.,170
23 августа 1994 г. - 11 октября 1994 г.,130
1 августа 1994 г. - 22 августа 1994 г.,150
30 июня 1994 г. - 31 июля 1994 г.,155
22 июня 1994 г. - 29 июня 1994 г.,170
2 июня 1994 г. - 21 июня 1994 г.,185
17 мая 1994 г. - 1 июня 1994 г.,200
29 апреля 1994 г. - 16 мая 1994 г.,205
15 октября 1993 г. - 28 апреля 1994 г.,210
23 сентября 1993 г. - 14 октября 1993 г.,180
15 июля 1993 г. - 22 сентября 1993 г.,170
29 июня 1993 г. - 14 июля 1993 г.,140
22 июня 1993 г. - 28 июня 1993 г.,120
2 июня 1993 г. - 21 июня 1993 г.,110
30 марта 1993 г. - 1 июня 1993 г.,100
23 мая 1992 г. - 29 марта 1993 г.,80
10 апреля 1992 г. - 22 мая 1992 г.,50
1 января 1992 г. - 9 апреля 1992 г.,20
